#,RA,DEC,PMRA,PMDEC,PLX,PLX_ERR,BP_RP,RV,L,B,DIST_1000,"(u,v,w)"
8240954,192.56943845390256,-59.533212227205155,143.02842886813747,-70.25806669904959,11.768062359525924,0.029764199629426003,2.7033510208129883,34.32612763281142,302.7846081845579,3.338205931918908,84.97679738708541,"(67.9850957065133, 1.0847764138021319, -25.99536960271086)"
8242801,191.2075131490484,-63.213034912971274,-65.38701213613932,-16.642036915228697,10.920305306483975,0.013578426092863083,2.152400016784668,54.28055149778809,302.1874889710283,-0.35083648839005194,91.5728015393995,"(5.031118272702091, -60.91249028525243, -8.282388147594235)"
8244057,195.32800428073094,-63.196879103829616,-391.344182229725,-411.1591679738537,59.338654937678136,0.01494890172034502,2.0914602279663086,32.245601654052734,304.04478815544144,-0.3464670238996406,16.85242321241276,"(-8.984496527805007, -44.75459858458284, -31.818684602568005)"
8244282,193.827684345024,-62.6480383149424,-55.61307562014238,-122.09721264875759,13.781602158436828,0.015224792994558811,2.5774831771850586,21.186673264085403,303.37675316209226,0.22036664155761326,72.56067478715522,"(-4.756132514390941, -28.696320303384873, -41.62376494715452)"
8245624,192.17556553193936,-63.214888864146104,-41.13820701105071,-19.846728087601452,15.875022300220673,0.010965951718389988,1.2922697067260742,7.2634663581848145,302.6237172215018,-0.3447759555623236,62.99209571818665,"(-6.396489276729459, -12.67512448043405, -6.100238866662487)"
8248953,263.3060114382702,-42.28115230505817,34.83635937355455,-117.14910617045976,17.8119566128213,0.020958835259079933,1.1162214279174805,31.287071228027344,347.3429906747561,-4.95620584696738,56.14221464462332,"(23.681788935034206, -27.08889163681874, -27.24480178349348)"
8270496,288.73460194776516,9.071106103035557,-15.77245123319563,33.9778104364842,11.22255931170474,0.02672853320837021,2.5004377365112305,-21.829208355508385,43.676849674691226,-1.035387815292089,89.10720022036855,"(-22.25929584764089, -7.963574626274971, 12.96163268316799)"
8272933,288.84604690182687,9.709378055303377,-6.630137778011614,-10.585538448212846,11.81480650331584,0.02959273010492325,2.4347333908081055,-70.54547147728873,44.2931420763329,-0.8359745593747114,84.64057504518507,"(-46.995705178618614, -52.831807606375456, 1.4084897580836762)"
8282546,288.31454842690005,9.763371007646752,14.421765812695547,2.32883589583685,12.88170456493174,0.03182487189769745,2.878079414367676,-31.576252205390833,44.097651383464374,-0.3469814387088063,77.63038879102169,"(-24.9360162466079, -19.67832894759168, -4.11337194023811)"
8283219,291.56786106608575,10.25095570012914,40.05490417152313,-26.584019510634675,11.903368490806754,0.02255801111459732,1.2162837982177734,15.99994945526123,46.03000775909496,-2.94924220296248,84.01041116400165,"(11.690916260184114, 9.561107032583681, -19.860826139060755)"
8285569,290.3065131379713,10.07338877896753,-183.70885233161783,-295.4997920554787,16.397351808319954,0.01937401480972767,2.8183164596557617,-18.019543735031267,45.2875271740133,-1.93793722851496,60.98562247174755,"(58.81366503484553, -83.24500874236531, 7.400804581191089)"
8285745,235.8876540490258,-49.193238631674944,-95.58101538368479,-69.08523208882934,14.010039118947677,0.01593959331512451,1.122274398803711,-32.023292541503906,329.50651602697445,4.590270076490969,71.37756632744185,"(-47.826578236986535, -18.125412295874355, -1.3995943092284469)"
8288425,235.53988698368192,-49.397372739833436,25.350429087983482,11.061175150263757,10.91981072042809,0.01883029378950596,2.280040740966797,20.39434915467221,329.2013876406303,4.565808019410746,91.57719859541658,"(23.63031889496873, -0.5034698216254565, -1.2059175421545918)"
8289450,287.50884452540674,9.217885904050307,-89.45068096046597,-37.06248780366564,26.391668590313003,0.02516177110373974,2.8686914443969727,-11.498843173179093,43.24638417533811,0.10513520042742988,37.89081315868259,"(0.7370661703842121, -17.59681099349069, 11.15812956877545)"
8290519,275.0948362621554,-10.186982172328616,-0.37566150084224803,-36.52242506818214,11.297628625731926,0.041120126843452454,1.7046890258789062,-12.360442161560059,20.328965945555534,2.160551368643452,88.51639196262084,"(-6.608337239900803, -16.949435262716452, -7.53074661533671)"
8290534,275.0947499447434,-10.187246596468736,-1.8408095274821892,-30.322483269106566,11.20160309028401,0.028032660484313965,1.886885643005371,-10.216262817382812,20.328692445348366,2.160501955003763,89.27400468608937,"(-5.322683327586145, -14.439021309547282, -5.730239338745628)"
8290918,236.42610235268108,-49.92220539051327,19.227732178586372,-56.89688666052251,10.318534972640906,0.01302336249500513,1.6037101745605469,-16.65990128500766,329.3361803262034,3.8000026227811485,96.91327637574432,"(-17.45566930410238, -0.23117855636396634, -27.0940933252621)"
8292414,290.8055933405246,10.543847964115338,34.82844776217159,-13.308493330837837,18.947407016136545,0.023635748773813248,2.5902633666992188,15.117271833720327,45.9340396101559,-2.150043008168422,52.777830193377895,"(9.425471636526074, 11.417792900801253, -9.815460859271974)"
8295790,289.2723290326924,9.248080514922624,57.338379526871364,10.229038965876281,10.339359875750427,0.01664709486067295,2.0943918228149414,-36.055039494217,44.08066890938873,-1.4228780956415867,96.71826360553837,"(-37.680517178746, -13.65436424139512, -20.16962372478442)"
8295894,234.9375322114009,-49.9286983351032,21.85339835274208,-5.342175234160056,13.505642846922473,0.012995189055800438,1.7546253204345703,30.13242153365634,328.5683471183556,4.376038586424168,74.04325691589975,"(28.653104504569693, -11.622082109507778, -3.773967637881978)"
8296668,288.0054806813862,9.53721860269699,51.55521242214327,23.455445320244753,12.88234457189537,0.02850310131907463,2.71561336517334,-34.87367795109081,43.75606258823271,-0.18174526078920447,77.6263517498137,"(-36.58302100342344, -12.276925032020689, -12.710315967834887)"
